mip,institution,model,ensemble,realm,variable,grid,zstore,version
ScenarioMIP,CCCma,CanESM5,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/Omon/tos/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r1i1p1f1,fx,areacella,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/fx/areacella/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r2i1p1f1,AERmon,od550aer,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r2i1p1f1/AERmon/od550aer/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r2i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r2i1p1f1/Amon/clt/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r2i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r2i1p1f1/Amon/prc/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r2i1p1f1/Amon/tas/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r2i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r2i1p1f1/Ofx/areacello/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r2i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r2i1p1f1/Omon/tos/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r2i1p1f1,fx,areacella,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r2i1p1f1/fx/areacella/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r3i1p1f1,AERmon,od550aer,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r3i1p1f1/AERmon/od550aer/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r3i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r3i1p1f1/Amon/clt/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r3i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r3i1p1f1/Amon/prc/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r3i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r3i1p1f1/Amon/tas/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r3i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r3i1p1f1/Ofx/areacello/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r3i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r3i1p1f1/Omon/tos/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r3i1p1f1,fx,areacella,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r3i1p1f1/fx/areacella/gn/v20190429/,20190429
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r1i1p1f1/Amon/clt/gn/v20191108/,20191108
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r1i1p1f1/Amon/prc/gn/v20191108/,20191108
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r1i1p1f1/Amon/tas/gn/v20191108/,20191108
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r1i1p1f1/Ofx/areacello/gn/v20191108/,20191108
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r1i1p1f1/Omon/tos/gn/v20191108/,20191108
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r1i1p1f1,fx,areacella,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r1i1p1f1/fx/areacella/gn/v20191108/,20191108
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r2i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r2i1p1f1/Amon/clt/gn/v20200303/,20200303
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r2i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r2i1p1f1/Amon/prc/gn/v20200303/,20200303
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r2i1p1f1/Amon/tas/gn/v20200303/,20200303
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r2i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r2i1p1f1/Ofx/areacello/gn/v20200303/,20200303
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r2i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r2i1p1f1/Omon/tos/gn/v20200303/,20200303
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r2i1p1f1,fx,areacella,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r2i1p1f1/fx/areacella/gn/v20200303/,20200303
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r3i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r3i1p1f1/Amon/clt/gn/v20200428/,20200428
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r3i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r3i1p1f1/Amon/prc/gn/v20200428/,20200428
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r3i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r3i1p1f1/Amon/tas/gn/v20200428/,20200428
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r3i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r3i1p1f1/Ofx/areacello/gn/v20200428/,20200428
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r3i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r3i1p1f1/Omon/tos/gn/v20200428/,20200428
ScenarioMIP,CSIRO-ARCCSS,ACCESS-CM2,r3i1p1f1,fx,areacella,gn,gs://cmip6/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r3i1p1f1/fx/areacella/gn/v20200428/,20200428
ScenarioMIP,E3SM-Project,E3SM-1-1,r1i1p1f1,Amon,clt,gr,gs://cmip6/CMIP6/ScenarioMIP/E3SM-Project/E3SM-1-1/ssp245/r1i1p1f1/Amon/clt/gr/v20201109/,20201109
ScenarioMIP,E3SM-Project,E3SM-1-1,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP6/ScenarioMIP/E3SM-Project/E3SM-1-1/ssp245/r1i1p1f1/Amon/tas/gr/v20201109/,20201109
ScenarioMIP,E3SM-Project,E3SM-1-1,r2i1p1f1,Amon,clt,gr,gs://cmip6/CMIP6/ScenarioMIP/E3SM-Project/E3SM-1-1/ssp245/r2i1p1f1/Amon/clt/gr/v20201110/,20201110
ScenarioMIP,E3SM-Project,E3SM-1-1,r2i1p1f1,Amon,tas,gr,gs://cmip6/CMIP6/ScenarioMIP/E3SM-Project/E3SM-1-1/ssp245/r2i1p1f1/Amon/tas/gr/v20201110/,20201110
ScenarioMIP,E3SM-Project,E3SM-1-1,r3i1p1f1,Amon,clt,gr,gs://cmip6/CMIP6/ScenarioMIP/E3SM-Project/E3SM-1-1/ssp245/r3i1p1f1/Amon/clt/gr/v20201110/,20201110
ScenarioMIP,E3SM-Project,E3SM-1-1,r3i1p1f1,Amon,tas,gr,gs://cmip6/CMIP6/ScenarioMIP/E3SM-Project/E3SM-1-1/ssp245/r3i1p1f1/Amon/tas/gr/v20201110/,20201110
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,Amon,prc,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r1i1p1f1/Amon/prc/gr/v20200225/,20200225
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r1i1p1f1/Amon/tas/gr/v20200225/,20200225
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r1i1p1f1/Ofx/areacello/gn/v20200919/,20200919
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r1i1p1f1/Omon/tos/gn/v20200919/,20200919
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r2i1p1f1,Amon,prc,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r2i1p1f1/Amon/prc/gr/v20200226/,20200226
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r2i1p1f1,Amon,tas,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r2i1p1f1/Amon/tas/gr/v20200226/,20200226
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r2i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r2i1p1f1/Ofx/areacello/gn/v20200919/,20200919
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r2i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r2i1p1f1/Omon/tos/gn/v20200919/,20200919
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r3i1p1f1,Amon,prc,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r3i1p1f1/Amon/prc/gr/v20200515/,20200515
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r3i1p1f1,Amon,tas,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r3i1p1f1/Amon/tas/gr/v20200515/,20200515
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r3i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r3i1p1f1/Ofx/areacello/gn/v20200919/,20200919
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg,r3i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg/ssp245/r3i1p1f1/Omon/tos/gn/v20200919/,20200919
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,Amon,clt,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r1i1p1f1/Amon/clt/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,Amon,prc,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r1i1p1f1/Amon/prc/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r1i1p1f1/Amon/tas/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r1i1p1f1/Ofx/areacello/gn/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r1i1p1f1/Omon/tos/gn/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,fx,areacella,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r1i1p1f1/fx/areacella/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r2i1p1f1,Amon,clt,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r2i1p1f1/Amon/clt/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r2i1p1f1,Amon,prc,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r2i1p1f1/Amon/prc/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r2i1p1f1,Amon,tas,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r2i1p1f1/Amon/tas/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r2i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r2i1p1f1/Ofx/areacello/gn/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r2i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r2i1p1f1/Omon/tos/gn/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r2i1p1f1,fx,areacella,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r2i1p1f1/fx/areacella/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r3i1p1f1,Amon,clt,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r3i1p1f1/Amon/clt/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r3i1p1f1,Amon,prc,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r3i1p1f1/Amon/prc/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r3i1p1f1,Amon,tas,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r3i1p1f1/Amon/tas/gr/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r3i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r3i1p1f1/Ofx/areacello/gn/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r3i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r3i1p1f1/Omon/tos/gn/v20201123/,20201123
ScenarioMIP,EC-Earth-Consortium,EC-Earth3-Veg-LR,r3i1p1f1,fx,areacella,gr,gs://cmip6/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/ssp245/r3i1p1f1/fx/areacella/gr/v20201123/,20201123
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r1i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r1i1p1f1/Amon/clt/gn/v20200923/,20200923
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r1i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r1i1p1f1/Amon/prc/gn/v20200923/,20200923
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r1i1p1f1/Amon/tas/gn/v20191226/,20191226
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r1i1p1f1/Ofx/areacello/gn/v20200928/,20200928
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r1i1p1f1/Omon/tos/gn/v20191227/,20191227
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r2i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r2i1p1f1/Amon/clt/gn/v20200923/,20200923
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r2i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r2i1p1f1/Amon/prc/gn/v20200923/,20200923
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r2i1p1f1/Amon/tas/gn/v20191226/,20191226
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r2i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r2i1p1f1/Ofx/areacello/gn/v20200928/,20200928
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r2i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r2i1p1f1/Omon/tos/gn/v20191227/,20191227
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r3i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r3i1p1f1/Amon/clt/gn/v20200911/,20200911
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r3i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r3i1p1f1/Amon/prc/gn/v20200911/,20200911
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r3i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r3i1p1f1/Amon/tas/gn/v20191226/,20191226
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r3i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r3i1p1f1/Ofx/areacello/gn/v20200928/,20200928
ScenarioMIP,FIO-QLNM,FIO-ESM-2-0,r3i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/FIO-QLNM/FIO-ESM-2-0/ssp245/r3i1p1f1/Omon/tos/gn/v20191227/,20191227
ScenarioMIP,IPSL,IPSL-CM6A-LR,r1i1p1f1,AERmon,od550aer,gr,gs://cmip6/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245/r1i1p1f1/AERmon/od550aer/gr/v20190119/,20190119
ScenarioMIP,IPSL,IPSL-CM6A-LR,r1i1p1f1,Amon,clt,gr,gs://cmip6/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245/r1i1p1f1/Amon/clt/gr/v20190119/,20190119
ScenarioMIP,IPSL,IPSL-CM6A-LR,r1i1p1f1,Amon,prc,gr,gs://cmip6/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245/r1i1p1f1/Amon/prc/gr/v20190119/,20190119
ScenarioMIP,IPSL,IPSL-CM6A-LR,r1i1p1f1,Amon,tas,gr,gs://cmip6/CMIP6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245/r1i1p1f1/Amon/tas/gr/v20190119/,20190119
