year,FIO-ESM-2-0,GFDL-ESM4,GFDL-CM4,IITM-ESM,INM-CM4-8,MRI-ESM2-0,TaiESM1,CMCC-CM2-SR5,MIROC6,NorESM2-MM,INM-CM5-0,EC-Earth3-CC,EC-Earth3-Veg,ACCESS-CM2,BCC-CSM2-MR,FGOALS-f3-L,CanESM5,FGOALS-g3,CAMS-CSM1-0,NorESM2-LM,CAS-ESM2-0,EC-Earth3-Veg-LR,KIOST-ESM,CESM2-WACCM,MPI-ESM1-2-HR,KACE-1-0-G,IPSL-CM6A-LR,CMCC-ESM2,CIESM,AWI-CM-1-1-MR,EC-Earth3,MPI-ESM1-2-LR,NESM3,E3SM-1-1
1960,287.05490150779286,286.7711888215273,286.22397903850714,287.637061395501,286.9492511142548,287.14715854247737,287.07010073611497,287.3145915787,288.48992456823225,287.2672070312692,286.58872971726487,287.8760003387677,287.29334687378497,287.1814345817789,288.1475673367715,286.2329404400457,287.12541391241007,287.5832090743471,287.2732771414634,287.6604835570929,287.34547840726503,287.058299134055,286.3371967985183,286.94167187170126,287.4832228819142,287.26943793386346,286.44662,287.26975350661405,288.082568742569,287.149275345432,287.2035150154025,287.1192921936876,287.3088448373028,286.68096369907454
1961,286.98518252484774,286.70007325045646,285.9733403662796,287.7407355338493,286.95972699423714,287.0133530229279,287.0846166470417,287.3644384782671,288.5049182489534,287.39864456592954,286.66852019799745,287.8648352352552,287.2263184067148,287.1380300371316,288.12281977894526,286.2397489100116,287.2446980118163,287.55877983437216,287.4021653777748,287.59697362488026,287.22473705716203,287.0527877514906,286.3026406274729,287.12414997981404,287.5144422252679,287.1914182541727,286.45563,287.4387993978617,288.1568125038641,287.308648189068,287.13802265675673,287.1898634229521,287.12996396964496,286.76439364749484
1962,286.6903877864758,286.722320365576,285.86857093153907,287.63703290166694,286.88698524362115,287.0604531657569,287.07455982572003,287.49870138010834,288.7873624412002,287.39398033970554,286.6901408877197,287.7654403966968,287.1074059398761,287.06091388942014,288.1271746396541,286.37698196107686,286.9743457711887,287.5860237659033,287.18482062518905,287.6177846981225,287.3518123198428,286.92836064193017,285.9885939735444,287.1913435473028,287.34423066251696,287.236611990693,286.6802,287.54205432462646,287.8327665539905,287.36410597414306,286.9135541811409,286.9324003986328,287.0420452481612,286.7454953836068
1963,286.6821898412405,286.58491140201807,285.77789578785314,287.45737564784514,286.6694096627502,286.981015742048,286.936672044591,287.5718991105893,288.83977122366747,287.10429982255056,286.6938581668339,287.7174874698731,287.0443455716878,286.8558731684225,287.9297980170074,286.0660189706733,286.7726100319581,287.43797704664064,287.11760433022255,287.59976575980176,287.34485794092905,286.75833386239213,286.27543521889294,287.2599813296916,287.329463650362,287.1597068530104,286.485,287.39491663646606,287.74568911232257,287.2798615843612,286.871667996987,286.7521235989076,286.89559624904325,286.71113821236173
1964,286.60424251158094,286.2860892067714,285.73449420263665,287.28021409089394,286.667506993081,286.9969931862138,286.8367532690891,287.5796638583724,288.36124120635606,286.89561187174826,286.56600615781406,287.4656884858604,287.00168982567806,286.7788991449326,287.8067832094195,285.9955912463706,286.7366607530103,287.3008977503382,287.09891856504913,287.5952030030863,287.2439686499378,286.728512345102,286.00434784708347,287.25640101921977,287.349608019385,287.0840164986261,286.37274,287.17568901486294,287.76357919182766,287.18203799409406,286.92427639824047,286.69879668700764,287.0694148322891,286.7504957655557
1965,286.65431412407185,286.38843180456496,285.7406249464236,287.51061537827565,286.72704423699605,286.9432760987626,286.8524654918995,287.6920359877283,288.2433123680361,286.7844237816917,286.59585143499163,287.46180651750774,287.01087199271143,286.77279660881703,287.79866047842137,286.18532312395115,286.9982120373604,287.4139560826589,286.98428209997314,287.71669690629443,287.2488129209943,286.83683300174573,285.7376010914299,287.0122614655567,287.3470616858625,287.01510623741336,286.41727,287.1748935525996,287.88616600663613,287.18463364703416,286.8812796198633,286.8094242798029,287.08382420448487,286.67155606279346
1966,286.72522242400686,286.6186669232107,285.78185435254727,287.48269996974204,286.7195001628294,286.98115468543665,286.83370434544435,287.5120164670895,288.3179307793029,286.7097446670044,286.6258762780188,287.6165252702857,287.1305912598729,286.7608744001699,288.04380323162553,285.9397850444554,287.06351445625546,287.45487875772375,287.0963028801901,287.7956288020269,286.9748992754569,286.826890491799,286.0866238492534,287.03010894735155,287.4057899478473,286.92636052315464,286.4255,287.3554728638801,287.84165631273555,287.1476346518635,287.0821845412233,286.91411612308286,287.0277330643811,286.58853998303454
1967,286.7691448937134,286.6919815989086,285.83211063844016,287.62811388399206,286.85997031542485,287.0105645580282,286.9699784515108,287.28531986811896,288.5270330011754,286.5571880110871,286.57095185943564,287.561770641763,286.9056900343871,286.8462119948379,287.9085189783471,286.0898247942128,286.90826646552085,287.3062863056729,287.25352331857886,287.4070085046342,287.21123158505725,286.8521433203246,286.2817887964587,287.10186674091386,287.24393200734227,286.92641948254857,286.4435,287.5817218944368,287.97508594169545,287.041155526035,286.847166434224,286.9904402858186,286.89281837780146,286.63241776836435
1968,286.7185194973269,286.6797056155416,285.76946097140205,287.7247503328136,286.84256126429733,286.97326783642694,287.0651372681649,287.51831007300905,288.74486470452945,286.7322226067621,286.5461640027806,287.51867415643994,286.9705402402641,287.02077309959503,288.02672351518646,286.2039194234929,286.9740241031448,287.39063029861313,287.36458742206327,287.3385392652702,287.1745130975488,286.94999626549634,286.1395164483589,287.15591158641683,287.3466936369515,287.08435706301594,286.449,287.61731945532534,288.0519525717853,287.3010967364607,286.76869739351974,287.0230139930288,286.91603282139585,286.7372874600326
1969,286.85513431917786,286.6569932220044,285.9403968150334,287.67918371537195,286.8084189665516,286.9120012676121,286.9455345552005,287.59579055718564,288.38152676563595,286.6987472135468,286.5183608072577,287.5915841685797,287.1891086781455,287.0232296320437,288.0259605861258,286.0324705176034,286.94532146489735,287.4620253526681,287.2473380173084,287.4438269050318,286.90677007427763,286.9377243097316,286.13070668847973,287.08149466177576,287.3685118569503,287.098732899381,286.52524,287.2961548255967,287.96753407063824,287.44074883114274,286.81503736736715,286.93569621349474,286.9508723532751,286.9334979207416
1970,286.9413033325186,286.5965692206885,286.04048192700174,287.7741861960457,286.8037780139495,286.9985134543211,287.02720459429923,287.6831742898916,288.4077390643453,286.7542714043278,286.54041562925204,287.6204400405284,287.28792680862017,286.9584577905068,288.025877046297,286.3290180244155,286.8526849715433,287.3725950622134,287.4685953429794,287.6099826541376,287.1637112714752,287.0581918130077,286.1989753933016,287.06947161817453,287.5308590016536,287.1467273474938,286.3308,287.14647142220184,288.051984565973,287.36438334436144,286.9286457891756,286.8388144229057,287.0630385973993,286.5401226793461
1971,286.7989123385834,286.61892546520534,286.0006375445953,287.81412009679593,286.8625387198064,287.05109779545336,287.0009339608216,287.82372272367854,288.49419442342213,286.7544458494117,286.52361011342714,287.6813481118998,287.33102738238847,286.9267352722828,288.0665585163753,286.4124837252831,286.8291129687132,287.46093854113207,287.41049558777434,287.65857791510456,287.3024294691322,286.946038790766,286.31163246769887,287.02649637231684,287.5986346651528,287.20940766085783,286.36658,287.2052070663142,288.09846707044284,287.09775935872324,286.8526905231156,286.84636478436187,286.9868919357225,286.5115346134094
1972,286.69663779351055,286.8118815950356,285.92178581233094,287.6898759384475,286.67542381398374,286.97162480594386,286.88498239626074,287.6634601653497,288.419868920743,286.9862443926914,286.5461924443776,287.8018405604679,287.36161562302294,287.0213930611084,287.83681123063974,286.1370422337196,286.85041192566484,287.5635477991838,287.28924889639285,287.5787023614515,287.1021371874644,286.9283423798571,286.3659253906465,287.25206331753463,287.4524411377574,287.09876100618897,286.5062,287.5545214423556,288.12145997223377,287.1697731155943,286.76992078511233,286.88036202972893,286.86059997712067,286.4968848633146
1973,286.90961969245217,286.8508040368311,285.8613863772098,287.6304564316034,286.6650293770621,286.969637121454,286.90325249110543,287.51704863901006,288.529279925254,287.0228945293365,286.622085824439,287.64964764833684,287.4336211802616,287.1584826406948,288.0064976591401,286.3248405075531,287.08597509735847,287.5668032483611,287.1838495231636,287.5705808701298,287.3532159938689,286.81999383354355,286.3732112894611,287.3848762550383,287.4248608886563,287.0291245882016,286.65674,287.7914466418443,288.0008495335243,287.1142603789665,286.9851832042853,287.031980525836,286.7781858912591,286.646676663863
1974,286.92483737433344,286.70992852620634,285.95338622662194,287.68065232985845,286.71715732285014,287.1737460222012,286.96501098515904,287.3973704403849,288.59677476796,287.15237356299644,286.56723561458165,287.73443114061746,287.4260979446503,286.9670077753767,288.1237683668885,286.55084022045025,287.2150589414707,287.5814609871411,287.2141918261233,287.6381874653359,287.16808349806735,286.95948186893355,286.3590997508722,287.1869079920615,287.3368174846433,287.0928841130513,286.4028,287.7085453402701,287.89255781345474,287.2524259747218,287.17133966204364,287.03703209464044,287.1049745762621,286.4857570285166
1975,286.864421933802,286.55022522540247,285.9138596592881,287.5572930211409,286.8581526187146,287.1188710506668,287.01173676478294,287.4306978361222,288.7074673214244,287.186871256294,286.6296815472958,287.9351245098807,287.3173906083409,286.9505284407382,288.0957567290208,286.3667284756046,287.16754694463845,287.36714982661005,287.12520874933443,287.33858796585395,287.05444740542754,287.00228136589584,286.4527643999972,287.0740464987728,287.2875903401635,286.9806515133788,286.37808,287.55134152102926,287.95393384683183,287.0966355052515,287.13538566055854,286.8272863093697,287.00657313442696,286.47818298009463
1976,286.9226367907877,286.7045363490861,286.1128987616976,287.7484389654487,286.82712907092287,286.869234415557,286.8634936423087,287.61327325098864,288.51331790242494,287.0946612030191,286.6444033144234,287.8339059397568,287.461160436659,287.0434762249563,288.0130670511723,286.19792850475375,287.1076988214904,287.5558731774387,287.2883032639176,287.52498472433246,287.1402388374001,287.06720111389234,286.44831952824927,287.23573537309574,287.5132438209646,287.05512395700936,286.5379,287.6081103719938,287.9779982235695,287.2759608474234,287.0964438693222,286.74057584619413,286.9019144307528,286.6789925018513
1977,286.9584946345407,286.8288294343742,285.98198518083706,287.52845355656484,286.8157528897472,286.9535801643539,286.7095594874461,287.74983888563605,288.5401388149068,287.19912533587507,286.7470796701824,287.6393996907031,287.5460755699041,287.05920344669306,288.0692459368059,286.47967071680483,287.28771360323594,287.4974216484482,287.52220081007255,287.6400027554204,287.0904564700989,287.15890614552814,286.4245967828505,287.34891469041503,287.52505438833026,287.191149950157,286.5272,287.6094584579582,288.24818909900347,287.3768980137207,287.25646715582286,286.8843163801239,286.9713427593059,286.6739939729271
1978,286.8967324656549,286.745678006985,285.9826128396558,287.61382680530545,286.81801821350524,287.1105058859851,286.7825555352072,287.72983605986394,288.8066881989366,287.2999684511205,286.77163767374486,287.76456041452565,287.4136233881917,287.0505775424349,288.1616996618321,286.4090453893969,287.3449818957113,287.4429427133735,287.4172402833684,287.6270901339699,287.40355815477955,286.9771459115714,286.45953392996927,287.4229140521707,287.54488202155443,287.087988584472,286.4852,287.6300365731758,288.04180488421304,287.1327669790108,287.14540415842765,286.9195382187027,286.92159852110245,286.64428318238856
1979,286.8953216316538,286.6914889897493,286.0937884487036,287.75708536251653,286.95426276951,287.07140462221327,287.02260934733295,287.878035533034,288.7034372088932,287.3779652628384,286.8001695091852,287.83985170308176,287.4187980644722,287.1907406900244,288.04566127927177,286.3089577554196,287.07125919584206,287.43990335015826,287.3924916983486,287.6516669901525,287.3698504556245,287.20046512942145,286.5484636563696,287.2475189752666,287.5241630289783,287.2141032957988,286.55875,287.7929766389328,288.02839337662,287.3773810772661,287.0890287098309,287.0572002884383,286.9929284762561,286.7462561699161
1980,287.0035227208204,286.6424165844998,286.0837970796898,287.68970440036486,286.9248991628885,287.0661106093364,287.11680593583657,287.92746780179215,288.50474274498646,287.1756482464264,286.7984689893432,287.86987662434075,287.5910409585129,287.0479035785529,288.07515474211414,286.5177727027903,287.1684580478864,287.7063662969546,287.4406900785469,287.743741544392,287.50256700606883,287.0544836288687,286.4063163145888,287.2069340054182,287.7191841032071,287.34263315802184,286.71246,287.7320435335876,288.16135683734007,287.3063366937341,287.0977397060554,287.2416416335428,286.9049084879968,286.7277432378888
1981,287.0430618274053,286.81476759508314,285.9027263846656,287.7350211166445,286.90542274920534,287.1711933087659,286.9809753230009,287.9434123537738,288.51250012812864,287.1732109489509,286.7138467328694,287.9444597106021,287.76814528332017,287.11767482089914,288.27079538205226,286.4797780312095,287.23332712909473,287.6404720454008,287.38749494638233,287.77357137569004,287.49096457288863,287.12870459708586,286.5352418296052,287.49099020380777,287.64561644333384,287.4712345708629,286.6107,287.6344731480306,288.2292184272617,287.3845122858807,287.22730999405366,287.17530998639165,287.0556220925999,286.8123663133367
1982,286.9865991310964,286.90336920406105,286.05588762818155,287.72541740514976,286.91303698794667,287.2804184443755,286.8790178550464,287.8601189679282,288.7565280939748,287.0747165456464,286.73647787111275,287.9955734770502,287.4473498054092,287.0696202730117,288.2726935193052,286.39965263257454,287.4014050278839,287.5778825921039,287.4010877700852,287.82750924703106,287.4112894968379,287.3354763690932,286.51819745526024,287.3171279814581,287.57037769722746,287.23605060336524,286.33698,287.78472722960515,288.06033804516983,287.2774185347604,287.12742410135047,287.1082181657482,286.99856469815444,286.8034631413558
1983,286.8634980477891,286.6460764371364,285.9866463114984,287.7618736991049,286.52750169017946,287.0827537706627,286.97538186065367,287.888116351748,288.7187794512082,286.9027319224616,286.42049921179347,287.851266326465,287.4114609591958,286.9840052330782,288.1547350898234,286.468410424351,287.31216613780293,287.4481264125828,287.3895906755796,287.8862820175352,287.06250785243685,287.01702122057185,286.4024020944111,287.1146033880946,287.4681960918196,287.19322779733443,286.19034,287.89146498198124,287.967067923467,287.2878315189144,286.9211653458882,286.99844194082414,286.6206906535378,286.50599663197016
1984,287.1546267838258,286.55673883406854,285.9963687639355,287.91455229626325,286.8032401360968,286.98467094187555,287.0224482783372,287.8609766682824,288.91306376591405,286.8966351605325,286.4729429728926,287.74639462878173,287.4814362049179,287.11148707606804,288.16550469291496,286.4388474811979,287.2497439463304,287.4796984494881,287.226588091199,287.72946113507135,287.1113428000072,286.98304301717826,286.3204850235852,287.24389169821546,287.5505956098699,287.31815816246524,286.34882,287.7862814484644,288.1398402043472,287.30524063271804,287.0062972497399,287.25092536350934,286.9098966038639,286.8038162142797
1985,287.1639520654314,286.6419383345561,285.9413880189862,287.76331664308105,286.91745086472173,287.389030716888,286.8889008944574,287.79011497546435,288.7285807746194,287.0852832066334,286.59285134546025,287.67721566147566,287.55829697654264,287.20908041506635,288.00380633648393,286.2514604397035,287.268513038277,287.4891951556328,287.153060813479,287.7148730612336,287.3955265372038,287.243118519098,286.5058940283269,287.23005230353345,287.6497880043015,287.27766124630915,286.2523,287.7102021812563,288.3361301856042,287.35746717607424,287.2711533802941,287.3132945037394,286.88099524195974,286.934538478588
1986,287.0451865906727,286.80662848319224,286.18545747228126,287.9062718406811,286.94653381286093,287.2356632223085,286.8894394084761,287.7451804935252,288.5536947460819,287.0443364590812,286.6614835279288,287.8476907315103,287.4924201079792,287.3340021093523,288.1301457588657,286.47468120946854,287.2847580077606,287.4319004913692,287.50597386969974,287.79655146409,287.1063442998522,287.20673520389226,286.5093310466376,287.1788974440846,287.73978355642424,287.4071233746248,286.55786,287.74100059804147,288.09563239491484,287.400536164951,287.2313918532869,287.2625236105915,286.9606186013498,286.9102826049471
1987,287.2087817008855,286.8318198631493,286.4006063705105,287.99117125992865,286.9189971548224,287.19997011846925,287.03728402325027,287.95608481641835,288.70236497728115,286.889378072578,286.616152951586,288.0478144882181,287.4843437041108,287.0657229860827,288.177165765568,286.5920559178413,287.4620046827924,287.686780367748,287.51014106206054,287.60349335395966,287.2794705383355,287.15482900314083,286.66319338253186,287.3015160305641,287.67644721643546,287.4634295305913,286.8019,287.77593134123384,288.23010174558647,287.50328083278845,287.4198835170121,287.14852031989204,286.9893022618522,286.8994060770051
1988,287.27136438270225,286.77132666322177,286.267083472269,287.97620859880664,286.9985786955909,287.26533648869616,287.1652113800291,287.9999432428706,288.7402315517404,287.03088970755465,286.7390652818188,288.1678785709291,287.5236060556318,287.0700430841552,288.2708831386249,286.4036839157405,287.46988282500274,287.730232300862,287.3733254639829,287.67185825495454,287.36767904608195,287.3691176185029,286.85299791704387,287.5513021690765,287.6422258139984,287.5950885110106,287.01285,287.7801694416933,288.3258873626234,287.3737180153662,287.26062990449134,287.1204432806712,287.1770146525367,286.997010559664
1989,287.3939461299117,286.88455985144924,286.25009420204776,287.97343278159445,287.08490504437253,287.15123921402346,287.2176670051577,287.9779379034815,288.7047786959317,287.28012052491323,286.8569850390381,288.31952905146363,287.7014575816051,287.23660688532976,288.3553080626718,286.5743138130762,287.3835062768898,287.6962102044712,287.55099011551494,287.85009972741574,287.3089387311816,287.28425898041934,286.7212187735219,287.5205974258757,287.6505593190429,287.4930444129033,287.15732,287.89559906808967,288.33258779261547,287.6089808812124,287.443713867223,287.26688441691647,287.2656081008591,286.8983330201581
1990,287.550126592088,287.1471524718691,286.2033569914852,288.03159099690487,287.24946892825056,287.2335823994844,287.251658906416,287.9812714735688,288.7936591870504,287.8252332206058,286.8527520149217,287.9352635317803,287.8542630423651,287.3386002039164,288.26137467295536,286.819368395895,287.49555900215626,287.83016242897094,287.6576735169703,287.9178041372961,287.30249895614253,287.4131250069747,286.81918087245606,287.460124974236,287.710043393991,287.5894004423913,286.7357,287.94489017087375,288.41544256105306,287.6446603308587,287.5383363934798,287.41034132276826,287.3847098883194,287.01041622385554
1991,287.411216897588,287.1454530699005,286.3020731333233,288.05975400429446,287.17865363759495,287.2938396252899,287.1465528143074,288.1796670502092,288.69705498519426,287.52878639498766,286.9896394464644,287.9103549169369,287.9078420075956,287.27583536336584,288.1443314190733,286.5509560238327,287.52463050921466,287.91125871780406,287.5672601234021,288.0152818422654,287.37726575800747,287.28775497225223,286.92093623116574,287.3487004864722,287.6542198739751,287.5240221978293,286.64957,287.8208486279861,288.5390228918615,287.47595209686614,287.5036130397329,287.3646951094211,287.27299940238106,287.10901025028755
1992,287.1942178756866,286.48218259465665,286.0775265452484,287.79525071424337,286.7830726077255,286.9829268310962,286.89037248660344,287.7203796267495,288.5517330133109,287.12842409159725,286.5999376813594,287.9234161639669,287.4586422315772,286.8974793556086,287.898877878739,286.35690071057365,287.29811962839443,287.39499638140137,287.2683920022204,287.7161728649923,287.2737445232024,286.9451433270246,286.2872942036685,287.33615004426014,287.427596487993,287.324850514138,286.55652,287.6300619950275,288.02691511574653,287.31436585153733,287.0516019628085,287.1357213201599,286.8220934433526,286.87570030046163
1993,287.0884310395876,286.5610823112679,285.9977718133134,287.90853053014075,286.7093396385461,287.1685936203341,287.0490244099108,287.6160867702869,288.74450018397647,287.2318453916324,286.4923750891357,287.8723111553672,287.3974981939337,287.00990555417275,288.0151287962293,286.70799328024594,287.16184939993946,287.5232745377064,287.2104123307978,287.56840265219085,287.2544334524848,287.1776450325876,286.5805406893175,287.3938952938441,287.40204330174544,287.38672086609733,286.60144,287.56427697880986,288.05017679455307,287.3185426911769,287.2683093866745,287.2649349152818,286.9077466228216,286.93112803406467
1994,287.17203692132887,286.8095318295178,286.06644935137155,287.84600192209126,286.9366537796703,287.291959526128,287.1523044005538,287.6191836588225,288.8708350904907,287.50268172667376,286.7064799636335,287.89962244519205,287.6492638157247,287.14341696932627,288.2366439335343,286.75840445135253,287.3997112024968,287.73490133608834,287.3925577859388,287.7122408814552,287.28655511325286,287.42651787285945,286.4690161980332,287.4653342460258,287.59369508774324,287.5102573330907,286.66635,287.503214003565,288.2627092105656,287.5606898713035,287.2893459273936,287.24370681341367,287.12053179173296,286.8183315072701
1995,287.2984545298048,286.79272270793894,286.1602579855142,287.88264331926973,287.0487517365099,287.2642813614812,287.1513402652179,287.74094400657424,288.5854144140296,287.46977828574444,286.80432131338705,287.9231373929225,287.714617462019,287.183667949884,288.3353371259072,286.64938715489706,287.5029016965971,287.6393443673478,287.43677615517487,287.8185954207318,287.48524744672085,287.28103903105125,286.66106068710627,287.4530127897162,287.64186353335185,287.4741134741396,286.87558,287.5411301934648,288.43800137557326,287.68791832541905,287.4205280260782,287.1254063806829,287.109626494073,286.903659503025
1996,287.4278244783009,286.8738430134586,286.30625296126544,287.95282798866145,287.14135890865936,287.1938671578933,287.2041824120061,287.76572316802464,288.51634629133366,287.5356076287913,286.92568699643,288.0828050639896,287.82334587085734,287.36759434858755,288.18823794675683,286.8271618852095,287.59412862630387,287.83497123729563,287.5023199745813,287.98968616627093,287.4254657961938,287.243497469968,286.7468283097451,287.47949786648707,287.6408444765581,287.5777962241231,286.9673,287.71841574212766,288.33331681132154,287.7980967879584,287.4407295098955,287.42368715996366,287.28345414394727,286.8573230733652
1997,287.42077782118366,286.9554277962537,286.4253790372587,287.86549768139884,287.23310051694244,287.3486082206752,287.35962939656184,287.9502019904804,288.66500774406603,287.42257897829376,286.95919691377514,288.2777221552821,287.97227914289124,287.23219378389894,288.4378363366122,286.8714443910174,287.68928781159565,288.0034850460833,287.61201697310656,288.1330797457893,287.4678566782458,287.4584299982317,286.6651050434293,287.57006758321825,287.534176941717,287.63700548542164,286.8928,287.9572832224489,288.42773989526773,287.5670153183392,287.6163861352757,287.55625673366643,287.3035096344722,286.8926007091405
1998,287.38427078292904,287.0101197931294,286.4459881486714,287.900924043068,287.21654655589055,287.5421477583839,287.329835430188,287.93289479227764,288.697714209774,287.11318089947594,287.0193690966033,288.40825468304286,288.03484862285666,287.28991159784715,288.3682683682698,286.83563076384183,287.7850645222116,287.90805641695835,287.66172204521064,288.1502724836558,287.5973268000394,287.5437896468709,286.80643949018094,287.55837880636807,287.6575446783076,287.5912694422864,286.7932,288.04138489258355,288.57286097340125,287.71454282435667,287.7220659430902,287.52607078893266,287.4401414806761,287.0437817631543
